Species (English and scientific names),Taxonomic group,COSEWIC Status,SARA Status,Page on SARA registry,Timeline,After 2017?,Lag (days) Minister -> GiC Receipt,Aquatic_vs_terrestrial,Consultation_Pathway,Last Minister Receipt,date_1,doc_type_1,date_2,doc_type_2,date_3,doc_type_3,date_4,doc_type_4,date_5,doc_type_5,date_6,doc_type_6,date_7,doc_type_7,date_8,doc_type_8,date_9,doc_type_9,date_10,doc_type_10,date_11,doc_type_11,date_12,doc_type_12,date_13,doc_type_13,date_14,doc_type_14,date_15,doc_type_15,date_16,doc_type_16,date_17,doc_type_17,date_18,doc_type_18
McCown's Longspur (Rhynchophanes mccownii),Birds,Threatened,"Threatened (since May 22, 2019)",https://species-registry.canada.ca/index-en.html#/species/897-623,Assessed but late,TRUE,714,Terrestrial,Normal,2017-01-11T08:00:00Z,2006-08-29T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,2016-12-20T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2018-12-26T08:00:00Z,4_GiC_Receipt,2018-12-29T08:00:00Z,5_GiC_Listing_Decision,2019-05-29T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA
Mountain Crab-eye (Acroscyphus sphaerophoroides),Lichens,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1309-952,Assessed but late,TRUE,518,Terrestrial,Normal,2017-01-11T08:00:00Z,2016-12-20T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2018-06-13T07:00:00Z,4_GiC_Receipt,2018-06-16T07:00:00Z,5_GiC_Listing_Decision,2019-03-06T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nine-spotted Lady Beetle (Coccinella novemnotata),Arthropods,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1307-957,Assessed but late,TRUE,1960,Terrestrial,Extended,2017-01-11T08:00:00Z,2016-12-20T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2022-05-25T07:00:00Z,4_GiC_Receipt,2022-05-28T07:00:00Z,5_GiC_Listing_Decision,2023-02-15T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Sunfish (Lepomis peltastes), Great Lakes - Upper St. Lawrence populations",Fishes (freshwater),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1322-960,Assessed but late,TRUE,798,Aquatic,Normal,2017-01-11T08:00:00Z,2016-12-20T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-05-25T07:00:00Z,2_Consultation_Begin,2017-07-25T07:00:00Z,3_Consultation_End,2019-03-20T07:00:00Z,4_GiC_Receipt,2019-03-23T07:00:00Z,5_GiC_Listing_Decision,2019-08-21T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nuttall's Sheep Moth (Hemileuca nuttalli),Arthropods,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1298-950,Assessed but late,TRUE,1960,Terrestrial,Extended,2017-01-11T08:00:00Z,2016-10-13T07:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2022-05-25T07:00:00Z,4_GiC_Receipt,2022-05-28T07:00:00Z,5_GiC_Listing_Decision,2023-02-15T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peary Caribou (Rangifer tarandus pearyi),Mammals (terrestrial),Threatened,"Threatened (since February 3, 2023)",https://species-registry.canada.ca/index-en.html#/species/823-344,Assessed but late,TRUE,1960,Terrestrial,Extended,2017-01-11T08:00:00Z,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,2010-05-27T07:00:00Z,4_GiC_Receipt,2010-07-03T07:00:00Z,5_GiC_Listing_Decision,2011-02-16T08:00:00Z,5_GiC_Listing_Decision,2016-10-13T07:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2022-05-25T07:00:00Z,4_GiC_Receipt,2022-05-28T07:00:00Z,5_GiC_Listing_Decision,2023-02-15T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA
Pygmy Pocket Moss (Fissidens exilis),Mosses,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/852-584,Assessed but late,TRUE,518,Terrestrial,Normal,2017-01-11T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2016-12-20T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2018-06-13T07:00:00Z,4_GiC_Receipt,2018-06-16T07:00:00Z,5_GiC_Listing_Decision,2019-03-06T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA
Rainbow (Villosa iris),Molluscs,Special Concern,"Special Concern (since August 8, 2019)",https://species-registry.canada.ca/index-en.html#/species/943-644,Assessed but late,TRUE,798,Aquatic,Normal,2017-01-11T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2012-07-04T07:00:00Z,4_GiC_Receipt,2012-07-07T07:00:00Z,5_GiC_Listing_Decision,2013-03-27T07:00:00Z,5_GiC_Listing_Decision,2016-10-13T07:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-02-03T08:00:00Z,2_Consultation_Begin,2017-04-03T07:00:00Z,3_Consultation_End,2019-03-20T07:00:00Z,4_GiC_Receipt,2019-03-23T07:00:00Z,5_GiC_Listing_Decision,2019-08-21T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Crossbill percna subspecies (Loxia curvirostra percna),Birds,Threatened,"Threatened (since May 22, 2019)",https://species-registry.canada.ca/index-en.html#/species/814-349,Assessed but late,TRUE,714,Terrestrial,Normal,2017-01-11T08:00:00Z,2004-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,2016-12-29T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2018-12-26T08:00:00Z,4_GiC_Receipt,2018-12-29T08:00:00Z,5_GiC_Listing_Decision,2019-05-29T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA
Spiny Softshell (Apalone spinifera),Reptiles,Endangered,"Endangered (since February 25, 2019)",https://species-registry.canada.ca/index-en.html#/species/278-206,Assessed but late,TRUE,518,Terrestrial,Normal,2017-01-11T08:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2017-01-11T08:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2018-06-13T07:00:00Z,4_GiC_Receipt,2018-06-16T07:00:00Z,5_GiC_Listing_Decision,2019-03-06T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spotted Gar (Lepisosteus oculatus),Fishes (freshwater),Endangered,"Endangered (since August 8, 2019)",https://species-registry.canada.ca/index-en.html#/species/117-113,Assessed but late,TRUE,798,Aquatic,Normal,2017-01-11T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2016-10-13T07:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2019-03-20T07:00:00Z,4_GiC_Receipt,2019-03-23T07:00:00Z,5_GiC_Listing_Decision,2019-08-21T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unisexual Ambystoma (Ambystoma laterale - (2) jeffersonianum), Jefferson Salamander dependent population",Amphibians,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1311-954,Assessed but late,TRUE,1498,Terrestrial,Normal,2017-01-11T08:00:00Z,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-17T08:00:00Z,0_COSEWIC_Assessment,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Unisexual Ambystoma (Ambystoma laterale - texanum), Small-mouthed Salamander dependent population",Amphibians,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1310-959,Assessed but late,TRUE,1498,Terrestrial,Normal,2017-01-11T08:00:00Z,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-17T08:00:00Z,0_COSEWIC_Assessment,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Yellow-bellied Racer (Coluber constrictor mormon),Reptiles,Threatened,"Threatened (since February 3, 2023)",https://species-registry.canada.ca/index-en.html#/species/383-540,Assessed but late,TRUE,1960,Terrestrial,Extended,2017-01-11T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2016-10-13T07:00:00Z,0_COSEWIC_Assessment,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2022-05-25T07:00:00Z,4_GiC_Receipt,2022-05-28T07:00:00Z,5_GiC_Listing_Decision,2023-02-15T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wrinkled Shingle Lichen (Pannaria lurida),Lichens,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/1305-956,Assessed but late,TRUE,518,Terrestrial,Normal,2017-01-11T08:00:00Z,2017-01-11T08:00:00Z,1_Response_Statement,2017-01-12T08:00:00Z,0_COSEWIC_Assessment,2017-01-23T08:00:00Z,2_Consultation_Begin,2017-10-11T07:00:00Z,3_Consultation_End,2018-06-13T07:00:00Z,4_GiC_Receipt,2018-06-16T07:00:00Z,5_GiC_Listing_Decision,2019-03-06T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anticosti Aster (Symphyotrichum anticostense),Vascular Plants,Special Concern,"Special Concern (since August 12, 2021)",https://species-registry.canada.ca/index-en.html#/species/207-166,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blanding's Turtle (Emydoidea blandingii), Great Lakes / St. Lawrence population",Reptiles,Endangered,"Endangered (since August 12, 2021)",https://species-registry.canada.ca/index-en.html#/species/846-577,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bullsnake (Pituophis catenifer sayi),Reptiles,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/723-822,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2002-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-04-21T07:00:00Z,1_Response_Statement,2014-01-08T08:00:00Z,0_COSEWIC_Assessment,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Banded Tigersnail (Anguispira kochi kochi),Molluscs,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1354-978,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden-eye Lichen (Teloschistes chrysophthalmus), Great Lakes population",Lichens,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1332-971,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden-eye Lichen (Teloschistes chrysophthalmus), Prairie / Boreal population",Lichens,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1331-972,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harris's Sparrow (Zonotrichia querula),Birds,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1348-979,Assessed but late,TRUE,1588,Terrestrial,Normal,2018-01-18T08:00:00Z,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2022-05-25T07:00:00Z,4_GiC_Receipt,2022-05-28T07:00:00Z,5_GiC_Listing_Decision,2023-02-15T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long's Bulrush (Scirpus longii),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/257-433,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magdalen Islands Grasshopper (Melanoplus madeleineae),Arthropods,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1325-974,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monarch (Danaus plexippus),Arthropods,Endangered,"Endangered (since December 8, 2023)",https://species-registry.canada.ca/index-en.html#/species/294-90,Assessed but late,TRUE,1938,Terrestrial,Extended,2018-01-18T08:00:00Z,2010-09-03T07:00:00Z,0_COSEWIC_Assessment,2010-12-02T08:00:00Z,1_Response_Statement,2010-12-02T08:00:00Z,2_Consultation_Begin,2012-02-04T08:00:00Z,3_Consultation_End,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2023-05-10T07:00:00Z,4_GiC_Receipt,2023-05-13T07:00:00Z,5_GiC_Listing_Decision,2023-12-20T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rusty Cord-moss (Entosthodon rubiginosus),Mosses,Special Concern,"Endangered (since September 1, 2021)",https://species-registry.canada.ca/index-en.html#/species/809-560,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA
Sonora Skipper (Polites sonora),Arthropods,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/923-619,Assessed but late,TRUE,1126,Terrestrial,Delist,2018-01-18T08:00:00Z,2006-08-29T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA
Spotted Wintergreen (Chimaphila maculata),Vascular Plants,Threatened,"Threatened (since August 12, 2021)",https://species-registry.canada.ca/index-en.html#/species/196-155,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2018-01-17T08:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Transverse Lady Beetle (Coccinella transversoguttata),Arthropods,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/1326-965,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Western Painted Turtle (Chrysemys picta bellii), Pacific Coast population",Reptiles,Threatened,"Threatened (since August 12, 2021)",https://species-registry.canada.ca/index-en.html#/species/902-634,Assessed but late,TRUE,1126,Terrestrial,Normal,2018-01-18T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,2018-01-18T08:00:00Z,1_Response_Statement,2018-01-26T08:00:00Z,2_Consultation_Begin,2018-10-22T07:00:00Z,3_Consultation_End,2021-02-17T08:00:00Z,4_GiC_Receipt,2021-02-20T08:00:00Z,5_GiC_Listing_Decision,2021-09-01T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA
Acuteleaf Small Limestone Moss (Seligeria acutifolia),Mosses,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/1349-1011,Assessed but late,TRUE,600,Terrestrial,Normal,2019-01-11T08:00:00Z,2019-01-11T08:00:00Z,1_Response_Statement,2019-01-15T08:00:00Z,2_Consultation_Begin,2019-02-22T08:00:00Z,0_COSEWIC_Assessment,2019-10-14T07:00:00Z,3_Consultation_End,2020-09-02T07:00:00Z,4_GiC_Receipt,2020-09-05T07:00:00Z,5_GiC_Listing_Decision,2021-05-12T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allegheny Mountain Dusky Salamander (Desmognathus ochrophaeus), Appalachian population",Amphibians,Endangered,"Endangered (since April 23, 2021)",https://species-registry.canada.ca/index-en.html#/species/1004-679,Assessed but late,TRUE,600,Terrestrial,Normal,2019-01-11T08:00:00Z,2007-12-04T08:00:00Z,1_Response_Statement,2008-02-18T08:00:00Z,2_Consultation_Begin,2009-03-27T07:00:00Z,3_Consultation_End,2019-01-11T08:00:00Z,1_Response_Statement,2019-01-15T08:00:00Z,2_Consultation_Begin,2019-10-14T07:00:00Z,3_Consultation_End,2019-12-20T08:00:00Z,0_COSEWIC_Assessment,2020-09-02T07:00:00Z,4_GiC_Receipt,2020-09-05T07:00:00Z,5_GiC_Listing_Decision,2021-05-12T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
